TF	M1	M2	M3	M4	M5	M6	M7
CREB3L2	1.0050149468197507	-1.584948107811746	-1.5208410151355243	-1.04240645003754	-0.9857104623123965	-1.4927894693524473	-0.17504747778924526
CREB3L4	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9426968185964548	-0.2532846993810665	1.3823007639257212
CREB5	-1.2518773721388177	-1.4433510172635913	0.5943645397853089	-1.2484659620808498	-1.9615744171787808	-1.3653220267567885	-0.3996198998160759
CREM	-0.23577355038013922	-1.5849481079737007	-1.2281109459087476	-1.2484659620808498	-1.9073583189565246	0.3475657671060717	-0.8113405234032451
CTCF	-0.24349688349109816	-1.5849481079737007	-1.5208410151355243	-0.9002375372090448	-1.0583206664207259	0.18268396789789182	-1.3869320431715397
CTCFL	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9439644690015008	1.2443937757883357	-0.5077111363144029
CUX1	-1.6169531538284387	-0.7931666403121703	-1.5208410151355243	-0.5395579416331513	-0.557767375495206	-0.3489035547206995	-1.2336200929325467
CUX2	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	0.14979760179378843	0.9468427417610733	-1.4927894693524473	-1.386932043643891
DBP	-0.7701385325383194	0.8252507220428394	-0.24304426846896127	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.3414565685509714
DDIT3	-1.6169531538284387	-0.9431684155106517	-1.5208410151355243	-1.2484659620808498	-1.9602804982267064	-0.03902106086257322	0.6115662991898339
DLX1	-1.6169531538284387	-1.5717441941528847	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	2.0304524238548263	-1.386932043643891
DLX4	-1.6169531538284387	-1.5813892501622042	-1.5208410151355243	0.6513760675073126	-1.9860930652996192	0.05305704668870615	-1.386932043643891
DMBX1	-1.6169531538284387	-1.5773910859411973	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	2.0365007094357988	-1.386932043643891
E2F1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.01043313212930428	1.0358647811920851	-1.3448305305836215	-1.386932043643891
E2F2	-1.5908399205660315	-1.5849481079737007	-1.5092337108664282	-1.2484659620808498	-1.8505654701487144	1.921515693287082	-1.386932043643891
E2F3	-1.61695315382843	-1.5849481079737007	-1.3642867526539717	-0.4217146070861943	0.028268389578118305	-0.3735731030452067	-1.386932043643891
E2F4	0.7289210148122193	-1.5849481079737007	-0.9497700974351643	-0.8287535589753875	-0.5067518946298503	-1.4927894693524473	-1.386932043643891
E2F5	-1.5550492166665562	-1.5849481079737007	-1.5208410151355243	-1.1559048541619201	-1.3312678157263855	1.4470698123321666	-1.386932043643891
E2F6	1.3756070164004004	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9295426495217096	0.1334439774384134	-1.386932043643891
E2F7	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.28595748703156987	1.6596775547669023	-1.4927894693524473	-1.386932043643891
E2F8	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-1.1810353789621382	-1.421903226414161	1.309479465097857	-1.1404449856444547
E4F1	-1.2645554357591098	-1.5849481079737007	-1.0190968722122073	-0.8569179113133869	0.6665780633763819	-1.370010647840149	-0.8849840596650859
EBF1	-0.3878107974269899	-1.103612603143045	0.7832377165637742	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043618206
EGR1	1.0867503122304405	-0.9523256551269161	-1.5208410151355243	-1.2484659620808498	-1.9593746012464048	-0.08425946996347129	-1.386932043643891
EGR2	-1.6169531538284387	-1.5849481079737007	1.807900578599605	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
ELF1	2.469931606838989	-0.13633858541839797	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.3869320436162598
ELF2	-0.9150401897714369	-1.5849481079737007	-1.349002156653944	-0.8391868438853863	-0.8970604831650906	0.24636315881762502	-1.386932043643891
ELF3	-1.3184190412021448	-1.1566922543513984	0.1275135588856886	-1.1553257925311133	-1.9860930652996192	-0.2681521170767531	-1.386932043643891
ELF4	0.17220933696820126	-0.8628485580063497	-0.21929708387961458	-1.2484659620808498	-1.9806767363867217	-0.9367104535796554	-1.386932043643891
ELK1	-1.616953153654696	-1.5849481079737007	-1.5207018388619569	-0.3856169354212982	0.15076647841882881	-0.33200134619577276	-1.386932043643891
ELK3	-0.11100104568917415	-0.6954131617564222	-1.5208410151355243	-0.42202070243890505	-0.34617582000409164	-1.4927894693524473	-1.386932043251119
ELK4	-1.3870264357665882	-1.393336858091647	-0.5551030421584832	-0.7130341788787737	-0.8461063584129914	-0.5956720336477552	-1.386932043643891
EMX1	-1.6169531538284387	-1.5849481079737007	-0.048914492606633365	0.6285614199512574	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
EMX2	-1.6169531538284387	2.780784348409427	-1.5208410151355243	-1.2484659620808498	-1.985112256513437	-1.4927894693524473	-0.6485806861680123
EOMES	-1.6169531538284387	-1.5849481079736987	-1.5208410151355243	2.1098536748309407	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
EPAS1	2.4248836783950996	-0.8349515965592483	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.1174556752751932	-1.2398332082824024
ESRRA	-0.6365417215977772	-1.0081222328934656	-1.5208410151355243	-0.32919811368258933	0.2899138746768781	-1.4927894693524473	-1.386932043643891
ESRRB	-1.6169531538284387	-1.5849481079737007	0.3684895066033424	-1.2484659620808498	-1.9860930652996192	0.0489040805936809	-1.386932043643891
ESRRG	-1.6169531524579301	-1.5849481079737007	-1.520841011525807	-0.27454319061728594	0.17107001053227597	-0.46213943623650977	-1.386932043643891
ETS1	0.41557644509526365	-0.2984681259219787	-1.16640264270203	-0.26885658740834906	-1.9860930652996192	-1.4927894693524473	-1.3869320436437356
ETS2	-0.07570823554479521	-0.6694016945620185	-1.5208410151355243	-0.04985674972427843	-1.9860930652996192	-0.7868689053677757	-1.386932043643891
ETV1	-1.5860930505502386	-1.5849481079737007	-1.5208410151355243	1.7466483074705517	-1.9860930652996192	-1.1252088844120725	-1.386932043643891
ETV3	-1.6025192631284735	-1.5849481079737007	-1.5086696681385658	-1.2484659620808498	-1.8541784909635055	1.9246238040970665	-1.386932043643891
ETV4	-1.589240388322656	-1.5849481079737007	-1.5208410151355243	1.2707579997135765	-1.9860930652996192	-0.6182341338218027	-1.386932043643891
ETV5	-1.323468956610299	-1.4119050366490704	-0.9418633501500193	0.2538961032130389	-1.9860930652996192	-0.44058646242389976	-1.386932043643891
ETV6	-0.22537564403136107	-0.9042546194816174	-0.11633152690607904	-1.0310198696348807	-1.5040558427257098	-1.3315823284561707	-1.3869317228439613
EWSR1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	1.8408288012655059	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
FEV	-1.6146412729585804	-1.5849481079737007	-1.50955902987474	-1.2484659620808498	-1.9860930652996192	2.030766693654087	-1.386932043643891
FLI1	-0.37008513132291254	-0.6248078535247049	0.4724341803029918	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
FOS	-1.3185254679258955	-1.57966765123403	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	2.751719510137459
FOSB	-1.4088763366523342	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	2.825214999471523
FOSL1	-1.4537358705339538	-1.5849481079737004	-1.5208410151355243	-1.2484659620808498	-1.9859916299496705	-1.1671463075162882	2.4653373904125835
FOSL2	-1.231796885183762	-1.1531042199445471	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	2.3315534160227345
FOXA2	-1.6169531538284387	-1.580425589607696	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	2.03981692557982	-1.386932043643891
FOXA3	-1.6169531538284387	-1.5849481079731174	-1.5208410151355243	2.109500966806276	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
FOXC1	0.15424263679455907	1.9143262027688015	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.2929026567815725
FOXC2	-0.5166709257816501	0.5614705921341597	-1.5208410151355243	0.0953068617730257	-1.9860930652996192	-1.4927894693524473	-1.3869318016259367
FOXD1	-0.4612994779147286	0.7630215788535593	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-0.24762390329833148	-1.3869173332323284
